cutoff_mev_atom,label_tuple,n,fraction,evidence_scope
0,MP=0;alex-mp-20=0;JARVIS=0,8869,0.38064377682403433,triple_exact_match_conflict_rate_result
0,MP=0;alex-mp-20=0;JARVIS=1,3016,0.12944206008583692,triple_exact_match_conflict_rate_result
0,MP=0;alex-mp-20=1;JARVIS=0,278,0.011931330472103005,triple_exact_match_conflict_rate_result
0,MP=0;alex-mp-20=1;JARVIS=1,509,0.021845493562231758,triple_exact_match_conflict_rate_result
0,MP=1;alex-mp-20=0;JARVIS=0,524,0.022489270386266094,triple_exact_match_conflict_rate_result
0,MP=1;alex-mp-20=0;JARVIS=1,1729,0.07420600858369099,triple_exact_match_conflict_rate_result
0,MP=1;alex-mp-20=1;JARVIS=0,679,0.029141630901287553,triple_exact_match_conflict_rate_result
0,MP=1;alex-mp-20=1;JARVIS=1,7696,0.3303004291845494,triple_exact_match_conflict_rate_result
1,MP=0;alex-mp-20=0;JARVIS=0,8518,0.3655793991416309,triple_exact_match_conflict_rate_result
1,MP=0;alex-mp-20=0;JARVIS=1,2968,0.12738197424892703,triple_exact_match_conflict_rate_result
1,MP=0;alex-mp-20=1;JARVIS=0,294,0.012618025751072962,triple_exact_match_conflict_rate_result
1,MP=0;alex-mp-20=1;JARVIS=1,526,0.022575107296137337,triple_exact_match_conflict_rate_result
1,MP=1;alex-mp-20=0;JARVIS=0,510,0.02188841201716738,triple_exact_match_conflict_rate_result
1,MP=1;alex-mp-20=0;JARVIS=1,1648,0.07072961373390559,triple_exact_match_conflict_rate_result
1,MP=1;alex-mp-20=1;JARVIS=0,714,0.030643776824034335,triple_exact_match_conflict_rate_result
1,MP=1;alex-mp-20=1;JARVIS=1,8122,0.34858369098712444,triple_exact_match_conflict_rate_result
5,MP=0;alex-mp-20=0;JARVIS=0,7541,0.3236480686695279,triple_exact_match_conflict_rate_result
5,MP=0;alex-mp-20=0;JARVIS=1,2751,0.11806866952789699,triple_exact_match_conflict_rate_result
5,MP=0;alex-mp-20=1;JARVIS=0,299,0.012832618025751074,triple_exact_match_conflict_rate_result
5,MP=0;alex-mp-20=1;JARVIS=1,567,0.024334763948497855,triple_exact_match_conflict_rate_result
5,MP=1;alex-mp-20=0;JARVIS=0,467,0.020042918454935624,triple_exact_match_conflict_rate_result
5,MP=1;alex-mp-20=0;JARVIS=1,1535,0.06587982832618025,triple_exact_match_conflict_rate_result
5,MP=1;alex-mp-20=1;JARVIS=0,857,0.036781115879828324,triple_exact_match_conflict_rate_result
5,MP=1;alex-mp-20=1;JARVIS=1,9283,0.39841201716738195,triple_exact_match_conflict_rate_result
10,MP=0;alex-mp-20=0;JARVIS=0,6599,0.28321888412017165,triple_exact_match_conflict_rate_result
10,MP=0;alex-mp-20=0;JARVIS=1,2451,0.1051931330472103,triple_exact_match_conflict_rate_result
10,MP=0;alex-mp-20=1;JARVIS=0,287,0.012317596566523606,triple_exact_match_conflict_rate_result
10,MP=0;alex-mp-20=1;JARVIS=1,663,0.028454935622317597,triple_exact_match_conflict_rate_result
10,MP=1;alex-mp-20=0;JARVIS=0,367,0.015751072961373392,triple_exact_match_conflict_rate_result
10,MP=1;alex-mp-20=0;JARVIS=1,1389,0.0596137339055794,triple_exact_match_conflict_rate_result
10,MP=1;alex-mp-20=1;JARVIS=0,925,0.03969957081545064,triple_exact_match_conflict_rate_result
10,MP=1;alex-mp-20=1;JARVIS=1,10619,0.4557510729613734,triple_exact_match_conflict_rate_result
25,MP=0;alex-mp-20=0;JARVIS=0,4415,0.18948497854077254,triple_exact_match_conflict_rate_result
25,MP=0;alex-mp-20=0;JARVIS=1,1788,0.0767381974248927,triple_exact_match_conflict_rate_result
25,MP=0;alex-mp-20=1;JARVIS=0,245,0.010515021459227468,triple_exact_match_conflict_rate_result
25,MP=0;alex-mp-20=1;JARVIS=1,698,0.02995708154506438,triple_exact_match_conflict_rate_result
25,MP=1;alex-mp-20=0;JARVIS=0,227,0.009742489270386265,triple_exact_match_conflict_rate_result
25,MP=1;alex-mp-20=0;JARVIS=1,1044,0.0448068669527897,triple_exact_match_conflict_rate_result
25,MP=1;alex-mp-20=1;JARVIS=0,942,0.04042918454935622,triple_exact_match_conflict_rate_result
25,MP=1;alex-mp-20=1;JARVIS=1,13941,0.5983261802575107,triple_exact_match_conflict_rate_result
