chemical_system,data_returned,data_available,query_error
Al-Ru,0,,TimeoutError: The read operation timed out
Ag-Zr,191,191,
As-Ba-N,0,,HTTPError: HTTP Error 502: Bad Gateway
Al-C-Pr,0,,TimeoutError: The read operation timed out
Al-Tb,0,,HTTPError: HTTP Error 502: Bad Gateway
Ag-Mg-Sb,0,,TimeoutError: The read operation timed out
Ag-In,143,143,
Al-Co-Si,0,,TimeoutError: The read operation timed out
Ag-Gd-Rh,214,214,
As-Be-Ge,0,,HTTPError: HTTP Error 502: Bad Gateway
Al-Cu,0,,TimeoutError: The read operation timed out
Al-Ga-N,0,,TimeoutError: The read operation timed out
As-B,0,,HTTPError: HTTP Error 502: Bad Gateway
As-Be-Si,0,,HTTPError: HTTP Error 502: Bad Gateway
Al-Ge-Sm,0,,TimeoutError: The read operation timed out
Al-C-Ce,0,,TimeoutError: The read operation timed out
As-B-P,0,,HTTPError: HTTP Error 502: Bad Gateway
Al-C-Co,0,,TimeoutError: The read operation timed out
Ag-O-S,0,,TimeoutError: The read operation timed out
Al-Hf,133,133,
Al-Co-Fe-V,0,,TimeoutError: The read operation timed out
Ag-Yb,0,,TimeoutError: The read operation timed out
As-Ba,0,,HTTPError: HTTP Error 502: Bad Gateway
As-Be-Sn,0,,HTTPError: HTTP Error 502: Bad Gateway
As-In,0,,network_query_disabled_cache_miss
As-Mn-Ru,0,,network_query_disabled_cache_miss
As-Ca,0,,HTTPError: HTTP Error 502: Bad Gateway
As-N-Sr,0,,network_query_disabled_cache_miss
Au-Dy,0,,network_query_disabled_cache_miss
As-Te,0,,network_query_disabled_cache_miss
As-C-V,0,,HTTPError: HTTP Error 502: Bad Gateway
As-Ti,0,,network_query_disabled_cache_miss
As-Zr,0,,network_query_disabled_cache_miss
B-Co-Mo,0,,network_query_disabled_cache_miss
As-Mg-Sn,0,,network_query_disabled_cache_miss
Au-Ge-Y,0,,network_query_disabled_cache_miss
B-Ce-Fe,0,,network_query_disabled_cache_miss
B-Co-Yb,0,,network_query_disabled_cache_miss
Au,0,,network_query_disabled_cache_miss
B-Co-V,0,,network_query_disabled_cache_miss
Au-Hf,0,,network_query_disabled_cache_miss
B-Fe,0,,network_query_disabled_cache_miss
B-Gd,0,,network_query_disabled_cache_miss
B-Co-Zr,0,,network_query_disabled_cache_miss
Au-Ho,0,,network_query_disabled_cache_miss
B-Nd,0,,network_query_disabled_cache_miss
B-Hf,0,,network_query_disabled_cache_miss
B-Pb-Sc,0,,network_query_disabled_cache_miss
B-Ir-Sc,0,,network_query_disabled_cache_miss
B-Re-Ti,0,,network_query_disabled_cache_miss
Au-La,0,,network_query_disabled_cache_miss
B-Pr,0,,network_query_disabled_cache_miss
B-Sc-Tl,0,,network_query_disabled_cache_miss
B-Mn,0,,network_query_disabled_cache_miss
B-Sc-Sn,0,,network_query_disabled_cache_miss
B-Ta,0,,network_query_disabled_cache_miss
B-W,0,,network_query_disabled_cache_miss
B-Ir-La,0,,network_query_disabled_cache_miss
B-Li,0,,network_query_disabled_cache_miss
Ba-Bi-N,0,,network_query_disabled_cache_miss
B-Sm,0,,network_query_disabled_cache_miss
B-Cs-F-Pb,0,,network_query_disabled_cache_miss
Ba-Cu-Nb-Nd-O,0,,network_query_disabled_cache_miss
B-Ni-Tm,0,,network_query_disabled_cache_miss
Ba-N,0,,network_query_disabled_cache_miss
Be-Ge-P,0,,network_query_disabled_cache_miss
B-Si-V,0,,network_query_disabled_cache_miss
Ba-Ga-H-Si,0,,network_query_disabled_cache_miss
Ba-Cu-Ga,0,,network_query_disabled_cache_miss
Be,0,,network_query_disabled_cache_miss
Bi-Eu-Mg,0,,network_query_disabled_cache_miss
Be-P-Sn,0,,network_query_disabled_cache_miss
As-Bi-Ca,0,,HTTPError: HTTP Error 502: Bad Gateway
Bi-Ho-Pd,0,,network_query_disabled_cache_miss
Be-P-Si,0,,network_query_disabled_cache_miss
B-P,0,,network_query_disabled_cache_miss
Ba-Pd,0,,network_query_disabled_cache_miss
Ba-Te,0,,network_query_disabled_cache_miss
Ba-O,0,,network_query_disabled_cache_miss
Bi-Dy-Pd,0,,network_query_disabled_cache_miss
Br-Cl,0,,network_query_disabled_cache_miss
Bi-In,0,,network_query_disabled_cache_miss
C-Co-Lu,0,,network_query_disabled_cache_miss
Bi-Pd-Y,0,,network_query_disabled_cache_miss
Bi-Pd,0,,network_query_disabled_cache_miss
C-Fe-Lu,0,,network_query_disabled_cache_miss
Bi-P-Sr,0,,network_query_disabled_cache_miss
Br-Cs-Pb,0,,network_query_disabled_cache_miss
Ca-N,0,,network_query_disabled_cache_miss
Bi-Nd-Pd,0,,network_query_disabled_cache_miss
Ba-N-Sb,0,,network_query_disabled_cache_miss
Ca-Mn-O,0,,network_query_disabled_cache_miss
C-H-O,0,,network_query_disabled_cache_miss
C-Lu-Ni,0,,network_query_disabled_cache_miss
Ba-Sb,0,,network_query_disabled_cache_miss
C-V,0,,network_query_disabled_cache_miss
Ca-Fe-O,0,,network_query_disabled_cache_miss
Ca-N-Sb,0,,network_query_disabled_cache_miss
Ca-Ge,0,,network_query_disabled_cache_miss
Ca-Sn,0,,network_query_disabled_cache_miss
Cd-Nd,0,,network_query_disabled_cache_miss
Ce-H,0,,network_query_disabled_cache_miss
Ce-In-Zn,0,,network_query_disabled_cache_miss
Ce-Lu,0,,network_query_disabled_cache_miss
Ca-Si,0,,network_query_disabled_cache_miss
Cd-Sb-Sn,0,,network_query_disabled_cache_miss
Ce-Mn-N,0,,network_query_disabled_cache_miss
Bi-Ca-P,0,,network_query_disabled_cache_miss
Ce-P-Ru,0,,network_query_disabled_cache_miss
Cd-Hf,0,,network_query_disabled_cache_miss
Ce-S-Y,0,,network_query_disabled_cache_miss
C-Li,0,,network_query_disabled_cache_miss
Co-Er-Ge,0,,network_query_disabled_cache_miss
Ce-Tl-Y,0,,network_query_disabled_cache_miss
Co-Cr,0,,network_query_disabled_cache_miss
Co-Mn,0,,network_query_disabled_cache_miss
Ca-Pb,0,,network_query_disabled_cache_miss
Co-Fe,0,,network_query_disabled_cache_miss
Cl-S-Ti,0,,network_query_disabled_cache_miss
Co-Mn-Te,0,,network_query_disabled_cache_miss
Co-Ga-Sm,0,,network_query_disabled_cache_miss
Co-Ge-Tb,0,,network_query_disabled_cache_miss
Co-Ga-Ni,0,,network_query_disabled_cache_miss
Co-W,0,,network_query_disabled_cache_miss
Co-V,0,,network_query_disabled_cache_miss
Cr-Se,0,,network_query_disabled_cache_miss
Cr-Ni,0,,network_query_disabled_cache_miss
Co-Te,0,,network_query_disabled_cache_miss
Co-Nd,0,,network_query_disabled_cache_miss
Co-Cr-Si,0,,network_query_disabled_cache_miss
Co-Cr-Fe-Ni,0,,network_query_disabled_cache_miss
Cs,0,,network_query_disabled_cache_miss
Co-Nb-Si,0,,network_query_disabled_cache_miss
Cu-P-Pd,0,,network_query_disabled_cache_miss
Co-Ni,0,,network_query_disabled_cache_miss
Co-Mo,0,,network_query_disabled_cache_miss
Ce-Sm,0,,network_query_disabled_cache_miss
Cu,0,,network_query_disabled_cache_miss
Cu-K-Se,0,,network_query_disabled_cache_miss
Cu-Lu-S,0,,network_query_disabled_cache_miss
Cs-Se,0,,network_query_disabled_cache_miss
Cu-I,0,,network_query_disabled_cache_miss
Dy-Te-Tl,0,,network_query_disabled_cache_miss
Eu-Na-S,0,,network_query_disabled_cache_miss
Dy-Sb,0,,network_query_disabled_cache_miss
F-S-Y,0,,network_query_disabled_cache_miss
Ce-Sc-Si,0,,network_query_disabled_cache_miss
Eu-S-Tl,0,,network_query_disabled_cache_miss
Ga-La,0,,network_query_disabled_cache_miss
Ce-Y,0,,network_query_disabled_cache_miss
Eu-Ge-Zn,0,,network_query_disabled_cache_miss
Eu-In-Ni,0,,network_query_disabled_cache_miss
Eu-Fe-O,0,,network_query_disabled_cache_miss
Ge,0,,network_query_disabled_cache_miss
Er-Te-Tl,0,,network_query_disabled_cache_miss
Gd-Sm,0,,network_query_disabled_cache_miss
Ge-Pt-Sm,0,,network_query_disabled_cache_miss
Ge-Pt-Ti,0,,network_query_disabled_cache_miss
Fe-Ni,0,,network_query_disabled_cache_miss
Ga-Lu,0,,network_query_disabled_cache_miss
H-K-Na,0,,network_query_disabled_cache_miss
H-Mg-Ni,0,,network_query_disabled_cache_miss
Ga-Te,0,,network_query_disabled_cache_miss
H-V,0,,network_query_disabled_cache_miss
Ge-Hf-Ni,0,,network_query_disabled_cache_miss
Ge-Tb-Ti,0,,network_query_disabled_cache_miss
Ge-Se,0,,network_query_disabled_cache_miss
Fe-Mn,0,,network_query_disabled_cache_miss
Ga,0,,network_query_disabled_cache_miss
Ga-Mn,0,,network_query_disabled_cache_miss
Ge-Os,0,,network_query_disabled_cache_miss
Hf-N-Zn,0,,network_query_disabled_cache_miss
H-Mn-O,0,,network_query_disabled_cache_miss
Hg-In-Sm,0,,network_query_disabled_cache_miss
Fe-H,0,,network_query_disabled_cache_miss
Hf-Pd,0,,network_query_disabled_cache_miss
Hf,0,,network_query_disabled_cache_miss
Ho-S-Tl,0,,network_query_disabled_cache_miss
Hf-S,0,,network_query_disabled_cache_miss
Hf-Ir,0,,network_query_disabled_cache_miss
In-Se-Zn,0,,network_query_disabled_cache_miss
Hf-Pb,0,,network_query_disabled_cache_miss
In-Mg-Se,0,,network_query_disabled_cache_miss
Hf-Tl,0,,network_query_disabled_cache_miss
Hf-Zn,0,,network_query_disabled_cache_miss
In-La-Pr,0,,network_query_disabled_cache_miss
Ir,0,,network_query_disabled_cache_miss
Fe-P,0,,network_query_disabled_cache_miss
Cu-K-Se-V,0,,network_query_disabled_cache_miss
Ho-Te-Tl,0,,network_query_disabled_cache_miss
In-Sb,0,,network_query_disabled_cache_miss
In-Sm,0,,network_query_disabled_cache_miss
K-Mn-O,0,,network_query_disabled_cache_miss
Li-Mn-O,0,,network_query_disabled_cache_miss
K-S-Y,0,,network_query_disabled_cache_miss
K-S-Zr,0,,network_query_disabled_cache_miss
K-Nd-S,0,,network_query_disabled_cache_miss
Ir-Sb,0,,network_query_disabled_cache_miss
Li-S-Sc,0,,network_query_disabled_cache_miss
K-Se-Sm,0,,network_query_disabled_cache_miss
Hf-Pt,0,,network_query_disabled_cache_miss
In-Pd,0,,network_query_disabled_cache_miss
Li-S-Ti,0,,network_query_disabled_cache_miss
La-Pd,0,,network_query_disabled_cache_miss
Li-S-Sn,0,,network_query_disabled_cache_miss
Mg-S-Y,0,,network_query_disabled_cache_miss
Lu-Si,0,,network_query_disabled_cache_miss
Mg-P-Sn,0,,network_query_disabled_cache_miss
Mg-Sc-Se,0,,network_query_disabled_cache_miss
Li-Se-Zr,0,,network_query_disabled_cache_miss
K-Lu-S,0,,network_query_disabled_cache_miss
La-Pt,0,,network_query_disabled_cache_miss
Mn-Zr,0,,network_query_disabled_cache_miss
Lu-S-Tl,0,,network_query_disabled_cache_miss
Li-Rh,0,,network_query_disabled_cache_miss
N-Ru,0,,network_query_disabled_cache_miss
Mo-P,0,,network_query_disabled_cache_miss
Mg-Ni,0,,network_query_disabled_cache_miss
N-Zn-Zr,0,,network_query_disabled_cache_miss
La-Rh,0,,network_query_disabled_cache_miss
N-Ti-Zn,0,,network_query_disabled_cache_miss
O,0,,network_query_disabled_cache_miss
N-Zr,0,,network_query_disabled_cache_miss
Mn-N,0,,network_query_disabled_cache_miss
Ni,0,,network_query_disabled_cache_miss
O-Re-Tm,0,,network_query_disabled_cache_miss
S-Sc-Zn,0,,network_query_disabled_cache_miss
P,0,,network_query_disabled_cache_miss
Mg-Te,0,,network_query_disabled_cache_miss
Lu-Se-Tl,0,,network_query_disabled_cache_miss
Pb-S,0,,network_query_disabled_cache_miss
Ru-Si,0,,network_query_disabled_cache_miss
Os-Si,0,,network_query_disabled_cache_miss
Se-Y-Zn,0,,network_query_disabled_cache_miss
Pr,0,,network_query_disabled_cache_miss
N-P-Sr,0,,network_query_disabled_cache_miss
P-S,0,,network_query_disabled_cache_miss
S-Sn,0,,network_query_disabled_cache_miss
Mg-Mn-O,0,,network_query_disabled_cache_miss
Sc-Se-Zn,0,,network_query_disabled_cache_miss
S-Ta,0,,network_query_disabled_cache_miss
Sc-Te,0,,network_query_disabled_cache_miss
S-Y-Zn,0,,network_query_disabled_cache_miss
Nb-S,0,,network_query_disabled_cache_miss
Te-Tl-Tm,0,,network_query_disabled_cache_miss
Te-V,0,,network_query_disabled_cache_miss
S-V,0,,network_query_disabled_cache_miss
Ti-Zr,0,,network_query_disabled_cache_miss
Ti-Zn,0,,network_query_disabled_cache_miss
