denominator_rule,cutoff_mev_atom,source_pair,source_a,source_b,n,conflict_n,conflict_fraction,evidence_scope
single_match_primary,0,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,36802,5666,0.1539590239660888,source_native_public_label_audit_not_common_hull
single_match_primary,0,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,36802,3862,0.10493994891581979,source_native_public_label_audit_not_common_hull
single_match_primary,0,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,36802,4244,0.1153198195750231,source_native_public_label_audit_not_common_hull
single_match_primary,1,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,36802,5463,0.1484430194011195,source_native_public_label_audit_not_common_hull
single_match_primary,1,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,36802,3688,0.10021194500298897,source_native_public_label_audit_not_common_hull
single_match_primary,1,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,36802,4217,0.1145861637954459,source_native_public_label_audit_not_common_hull
single_match_primary,5,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,36802,5189,0.140997771860225,source_native_public_label_audit_not_common_hull
single_match_primary,5,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,36802,3456,0.0939079397858812,source_native_public_label_audit_not_common_hull
single_match_primary,5,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,36802,4133,0.1123036791478724,source_native_public_label_audit_not_common_hull
single_match_primary,10,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,36802,4886,0.132764523667192,source_native_public_label_audit_not_common_hull
single_match_primary,10,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,36802,3315,0.09007662627031139,source_native_public_label_audit_not_common_hull
single_match_primary,10,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,36802,3923,0.10659746752893864,source_native_public_label_audit_not_common_hull
single_match_primary,25,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,36802,4173,0.11339057659909788,source_native_public_label_audit_not_common_hull
single_match_primary,25,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,36802,2995,0.08138144666050758,source_native_public_label_audit_not_common_hull
single_match_primary,25,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,36802,3258,0.08852779740231509,source_native_public_label_audit_not_common_hull
include_multiple_lowest_official_alexandria_ehull,0,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,41760,7015,0.16798371647509577,source_native_public_label_audit_not_common_hull
include_multiple_lowest_official_alexandria_ehull,0,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,41760,5152,0.12337164750957855,source_native_public_label_audit_not_common_hull
include_multiple_lowest_official_alexandria_ehull,0,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,41760,4995,0.11961206896551724,source_native_public_label_audit_not_common_hull
include_multiple_lowest_official_alexandria_ehull,1,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,41760,6811,0.16309865900383141,source_native_public_label_audit_not_common_hull
include_multiple_lowest_official_alexandria_ehull,1,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,41760,4980,0.11925287356321838,source_native_public_label_audit_not_common_hull
include_multiple_lowest_official_alexandria_ehull,1,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,41760,4959,0.11875,source_native_public_label_audit_not_common_hull
