model,K,n,uncertain_n,uncertain_fraction
ALIGNN-FF,100,100,38,0.38
ALIGNN-FF,300,300,109,0.36333333333333334
ALIGNN-FF,500,500,161,0.322
ALIGNN-FF,1000,1000,311,0.311
ALIGNN-FF,5000,5000,1562,0.3124
CHGNet,100,100,39,0.39
CHGNet,300,300,114,0.38
CHGNet,500,500,186,0.372
CHGNet,1000,1000,354,0.354
CHGNet,5000,5000,1620,0.324
M3GNet,100,100,39,0.39
M3GNet,300,300,113,0.37666666666666665
M3GNet,500,500,176,0.352
M3GNet,1000,1000,342,0.342
M3GNet,5000,5000,1643,0.3286
MACE-MP,100,100,39,0.39
MACE-MP,300,300,118,0.3933333333333333
MACE-MP,500,500,178,0.356
MACE-MP,1000,1000,354,0.354
MACE-MP,5000,5000,1609,0.3218
