denominator,model_name,label_view,K,K_effective,n_ranked,stable_n,precision_at_k,recall_at_k,stable_yield_at_k,uncertain_fraction_at_k,false_positive_burden_at_k,DAF_at_k,metric_status
D5_full_complete,ALIGNN-FF,mp_native,100,100,36769,52,0.52,0.003460668175163051,0.52,0.0,0.48,1.2724530813257022,ok
D5_full_complete,ALIGNN-FF,mp_native,300,300,36769,125,0.4166666666666667,0.008318913882603488,0.4166666666666667,0.0,0.5833333333333333,1.0195938151648254,ok
D5_full_complete,ALIGNN-FF,mp_native,500,500,36769,202,0.404,0.013443364834287236,0.404,0.0,0.596,0.9885981631838148,ok
D5_full_complete,ALIGNN-FF,mp_native,1000,1000,36769,404,0.404,0.02688672966857447,0.404,0.0,0.596,0.9885981631838148,ok
D5_full_complete,ALIGNN-FF,mp_native,5000,5000,36769,1694,0.3388,0.11273792093704246,0.3388,0.0,0.6612,0.8290521229868228,ok
D5_full_complete,ALIGNN-FF,mp_native,10000,10000,36769,3413,0.3413,0.2271396246506056,0.3413,0.0,0.6587000000000001,0.8351696858778118,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,100,100,36769,35,0.35,0.0026331628046945533,0.35,0.0,0.65,0.9681876316581403,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,300,300,36769,79,0.2633333333333333,0.005943424616310563,0.2633333333333333,0.0,0.7366666666666667,0.7284459323904102,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,500,500,36769,134,0.268,0.010081251880830575,0.268,0.0,0.732,0.7413551008125189,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,1000,1000,36769,323,0.323,0.024300331026181163,0.323,0.0,0.677,0.8934988715016552,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,5000,5000,36769,1482,0.2964,0.11149563647306651,0.2964,0.0,0.7036,0.8199166114956365,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,10000,10000,36769,3053,0.3053,0.2296870297923563,0.3053,0.0,0.6947,0.844536239843515,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,100,100,36769,29,0.29,0.002383496342565957,0.29,0.0,0.71,0.8763877701980768,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,300,300,36769,66,0.22,0.005424508917563902,0.22,0.0,0.78,0.6648458946330238,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,500,500,36769,119,0.238,0.009780553957425824,0.238,0.0,0.762,0.7192423769211802,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,1000,1000,36769,299,0.299,0.024574669187145556,0.299,0.0,0.7010000000000001,0.903586011342155,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,5000,5000,36769,1447,0.2894,0.11892824854113586,0.2894,0.0,0.7106,0.8745745541218048,ok
D5_full_complete,ALIGNN-FF,alex_pbe_native,10000,10000,36769,2917,0.2917,0.23974685625051367,0.2917,0.0,0.7082999999999999,0.8815252157475139,ok
D5_full_complete,ALIGNN-FF,common_pool,100,100,31872,57,0.57,0.0034574790731529783,0.57,0.0,0.43000000000000005,1.1019677301953172,ok
D5_full_complete,ALIGNN-FF,common_pool,300,300,31872,145,0.48333333333333334,0.008795341501880383,0.48333333333333334,0.0,0.5166666666666666,0.934417081159772,ok
D5_full_complete,ALIGNN-FF,common_pool,500,500,31872,240,0.48,0.014557806623802013,0.48,0.0,0.52,0.9279728254276356,ok
D5_full_complete,ALIGNN-FF,common_pool,1000,1000,31872,499,0.499,0.030268106271988355,0.499,0.0,0.501,0.9647050831008128,ok
D5_full_complete,ALIGNN-FF,common_pool,5000,5000,31872,2330,0.466,0.14133203930607788,0.466,0.0,0.534,0.900906951352663,ok
D5_full_complete,ALIGNN-FF,common_pool,10000,10000,31872,4708,0.4708,0.28557563993691615,0.4708,0.0,0.5292,0.9101866796069393,ok
D5_full_complete,ALIGNN-FF,source_union,100,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,300,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,500,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,1000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,5000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,source_union,10000,0,0,0,,,,,,,not_evaluable_full_source_union_incomplete
D5_full_complete,ALIGNN-FF,consensus,100,100,24614,37,0.37,0.0039000737851797194,0.37,0.0,0.63,0.9599641614841362,ok
D5_full_complete,ALIGNN-FF,consensus,300,300,24614,90,0.3,0.00948666596395067,0.3,0.0,0.7,0.7783493201222726,ok
D5_full_complete,ALIGNN-FF,consensus,500,500,24614,175,0.35,0.01844629492990408,0.35,0.0,0.65,0.908074206809318,ok
D5_full_complete,ALIGNN-FF,consensus,1000,1000,24614,355,0.355,0.037419626857805414,0.355,0.0,0.645,0.9210466954780225,ok
D5_full_complete,ALIGNN-FF,consensus,5000,5000,24614,1630,0.326,0.17181406134710656,0.326,0.0,0.6739999999999999,0.8458062611995363,ok
D5_full_complete,ALIGNN-FF,consensus,10000,10000,24614,3300,0.33,0.3478444186781912,0.33,0.0,0.6699999999999999,0.8561842521344999,ok
D5_full_complete,ALIGNN-FF,uncertain,100,100,36769,38,0.38,0.0031262854792266557,0.38,0.38,0.62,1.149503907856849,uncertainty_indicator_not_primary_stability_metric
