candidate_id,pipeline_name,formula,candidate_reduced_formula,chemical_system,matched_to_sourceaware,formula_overlap_with_sourceaware,formula_sourceaware_row_count,formula_support_status,formula_sourceaware_mp_examples
CHGSCREEN-00001,CHGNet_screened_public_hull_top5000,Mo3P,Mo3P,Mo-P,True,True,2,exact_sourceaware_structure_label_match,mp-10004;mp-1189099
CHGSCREEN-00002,CHGNet_screened_public_hull_top5000,LiMnO2,LiMnO2,Li-Mn-O,True,True,12,exact_sourceaware_structure_label_match,mp-1002572;mp-1004373;mp-1288099;mp-18767;mp-2506805
CHGSCREEN-00003,CHGNet_screened_public_hull_top5000,Mn3HO6,Mn3HO6,H-Mn-O,True,True,1,exact_sourceaware_structure_label_match,mp-1003317
CHGSCREEN-00004,CHGNet_screened_public_hull_top5000,Sm2AlGe6,Sm2AlGe6,Al-Ge-Sm,True,True,1,exact_sourceaware_structure_label_match,mp-1005753
CHGSCREEN-00005,CHGNet_screened_public_hull_top5000,GdB12,GdB12,B-Gd,True,True,1,exact_sourceaware_structure_label_match,mp-1006223
CHGSCREEN-00006,CHGNet_screened_public_hull_top5000,KNdS2,KNdS2,K-Nd-S,True,True,1,exact_sourceaware_structure_label_match,mp-1006885
CHGSCREEN-00007,CHGNet_screened_public_hull_top5000,KSmSe2,KSmSe2,K-Se-Sm,True,True,1,exact_sourceaware_structure_label_match,mp-1006891
CHGSCREEN-00008,CHGNet_screened_public_hull_top5000,KLuS2,KLuS2,K-Lu-S,True,True,1,exact_sourceaware_structure_label_match,mp-1007636
CHGSCREEN-00009,CHGNet_screened_public_hull_top5000,InSb,InSb,In-Sb,True,True,2,exact_sourceaware_structure_label_match,mp-1007661;mp-20012
CHGSCREEN-00010,CHGNet_screened_public_hull_top5000,HoTlS2,HoTlS2,Ho-S-Tl,True,True,1,exact_sourceaware_structure_label_match,mp-1007665
CHGSCREEN-00011,CHGNet_screened_public_hull_top5000,Ge,Ge,Ge,True,True,2,exact_sourceaware_structure_label_match,mp-1007760;mp-1091415
CHGSCREEN-00012,CHGNet_screened_public_hull_top5000,HfIr,HfIr,Hf-Ir,True,True,1,exact_sourceaware_structure_label_match,mp-1007786
CHGSCREEN-00013,CHGNet_screened_public_hull_top5000,FeCo3,FeCo3,Co-Fe,True,True,2,exact_sourceaware_structure_label_match,mp-1007852;mp-1225083
