denominator,model_a,model_b,metric,label_view_a,label_view_b,margin_a,margin_b,winner_a,winner_b
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,alex_pbe_native,alexmp20_native,0.019947979632062962,-0.004150488721804346,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,alex_pbe_native,consensus,0.019947979632062962,-0.02724222620427963,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,alex_pbe_native,uncertain,0.019947979632062962,-0.003321662427176464,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,alexmp20_native,audit_view,-0.004150488721804346,0.015904300621903622,CHGNet,ALIGNN-FF
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,alexmp20_native,common_pool,-0.004150488721804346,0.010439694286060952,CHGNet,ALIGNN-FF
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,alexmp20_native,mp_native,-0.004150488721804346,0.0019582812292138208,CHGNet,ALIGNN-FF
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,audit_view,consensus,0.015904300621903622,-0.02724222620427963,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,audit_view,uncertain,0.015904300621903622,-0.003321662427176464,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,common_pool,consensus,0.010439694286060952,-0.02724222620427963,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,common_pool,uncertain,0.010439694286060952,-0.003321662427176464,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,consensus,mp_native,-0.02724222620427963,0.0019582812292138208,CHGNet,ALIGNN-FF
D5_pairwise_complete,ALIGNN-FF,CHGNet,DAF@10000,mp_native,uncertain,0.0019582812292138208,-0.003321662427176464,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,alex_pbe_native,alexmp20_native,0.0014911400975206046,-0.005730541621489116,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,alex_pbe_native,consensus,0.0014911400975206046,-0.0006281102002971273,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,alex_pbe_native,mp_native,0.0014911400975206046,-0.0030153409977338175,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,alex_pbe_native,uncertain,0.0014911400975206046,-0.0019685564880513873,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,alexmp20_native,audit_view,-0.005730541621489116,0.00045736098570436923,CHGNet,ALIGNN-FF
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,alexmp20_native,common_pool,-0.005730541621489116,0.0004986584144464068,CHGNet,ALIGNN-FF
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,audit_view,consensus,0.00045736098570436923,-0.0006281102002971273,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,audit_view,mp_native,0.00045736098570436923,-0.0030153409977338175,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,audit_view,uncertain,0.00045736098570436923,-0.0019685564880513873,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,common_pool,consensus,0.0004986584144464068,-0.0006281102002971273,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,common_pool,mp_native,0.0004986584144464068,-0.0030153409977338175,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,auroc,common_pool,uncertain,0.0004986584144464068,-0.0019685564880513873,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,alex_pbe_native,alexmp20_native,0.00214791351214344,-0.005416010132987481,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,alex_pbe_native,common_pool,0.00214791351214344,-0.0012565167812562672,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,alex_pbe_native,consensus,0.00214791351214344,-0.00703208878716044,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,alex_pbe_native,mp_native,0.00214791351214344,-0.00916524556558801,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,alex_pbe_native,uncertain,0.00214791351214344,-0.001288160303646535,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,alexmp20_native,audit_view,-0.005416010132987481,0.0012781679510117105,CHGNet,ALIGNN-FF
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,audit_view,common_pool,0.0012781679510117105,-0.0012565167812562672,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,audit_view,consensus,0.0012781679510117105,-0.00703208878716044,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,audit_view,mp_native,0.0012781679510117105,-0.00916524556558801,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,balanced_accuracy,audit_view,uncertain,0.0012781679510117105,-0.001288160303646535,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,f1,alex_pbe_native,alexmp20_native,0.0028745072273324568,-0.006917293233082711,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,f1,alex_pbe_native,common_pool,0.0028745072273324568,-0.0012131505519835106,ALIGNN-FF,CHGNet
D5_pairwise_complete,ALIGNN-FF,CHGNet,f1,alex_pbe_native,consensus,0.0028745072273324568,-0.008643406767155026,ALIGNN-FF,CHGNet
