evaluation_scope,model_name,K,K_effective,stable_n,stable_yield_at_k,recall_at_k,DAF_at_k,source_label_field,guardrail
external_wbm_native_context_only,ALIGNN-FF,100,100,39,0.39,0.0009106830122591944,2.340118388791594,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,ALIGNN-FF,300,300,81,0.27,0.0018914185639229422,1.6200819614711035,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,ALIGNN-FF,500,500,138,0.276,0.0032224168126094572,1.656083782837128,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,ALIGNN-FF,1000,1000,307,0.307,0.007168709865732633,1.8420931932282545,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,ALIGNN-FF,5000,5000,1419,0.2838,0.033134851138353766,1.7028861506129598,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,ALIGNN-FF,10000,10000,2247,0.2247,0.052469352014010505,1.3482682101576182,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,CGCNN,100,100,48,0.48,0.0011208406304728546,2.8801232924693516,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,CGCNN,300,300,94,0.31333333333333335,0.00219497956800934,1.8800804825841604,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,CGCNN,500,500,157,0.314,0.003666082895504962,1.884080653823701,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,CGCNN,1000,1000,329,0.329,0.007682428488032691,1.9740845067133683,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
