threshold_meV_per_atom,coordinate_endpoint,K,first_second_margin_ci_low_95_hits,first_second_margin_median_hits,first_second_margin_ci_high_95_hits
0,alex_pbe_matched_pool_coordinate,100,0.0,0.0,0.0
0,alex_pbe_matched_pool_coordinate,300,0.0,0.0,0.0
0,alex_pbe_matched_pool_coordinate,500,0.0,0.0,0.0
0,alex_pbe_matched_pool_coordinate,1000,0.0,1.0,3.0
0,alex_pbe_matched_pool_coordinate,5000,4.0,19.0,34.0
0,alex_pbe_source_coordinate,100,0.0,1.0,5.0
0,alex_pbe_source_coordinate,300,0.0,4.0,11.0
0,alex_pbe_source_coordinate,500,0.0,3.0,11.0
0,alex_pbe_source_coordinate,1000,0.0,7.0,21.0
0,alex_pbe_source_coordinate,5000,73.975,115.0,152.0
0,alexmp20_source_coordinate,100,0.0,1.0,4.0
0,alexmp20_source_coordinate,300,0.0,4.0,9.0
0,alexmp20_source_coordinate,500,0.0,3.0,9.024999999999977
0,alexmp20_source_coordinate,1000,0.0,8.0,23.0
0,alexmp20_source_coordinate,5000,91.975,125.5,162.0
0,mp_matched_pool_coordinate,100,0.0,0.0,0.0
0,mp_matched_pool_coordinate,300,0.0,0.0,3.0
0,mp_matched_pool_coordinate,500,0.0,0.0,7.0
0,mp_matched_pool_coordinate,1000,0.0,2.0,7.0
0,mp_matched_pool_coordinate,5000,1.0,12.0,34.0
0,mp_source_coordinate,100,0.0,1.0,4.0
0,mp_source_coordinate,300,0.0,3.0,9.0
0,mp_source_coordinate,500,0.0,2.0,8.0
0,mp_source_coordinate,1000,0.0,6.0,20.0
0,mp_source_coordinate,5000,51.0,84.0,112.02499999999998
10,alex_pbe_matched_pool_coordinate,100,0.0,0.0,0.0
10,alex_pbe_matched_pool_coordinate,300,0.0,0.0,0.0
10,alex_pbe_matched_pool_coordinate,500,0.0,0.0,0.0
10,alex_pbe_matched_pool_coordinate,1000,0.0,1.0,3.0
10,alex_pbe_matched_pool_coordinate,5000,2.0,13.0,26.0
10,alex_pbe_source_coordinate,100,0.0,1.0,4.0
10,alex_pbe_source_coordinate,300,0.0,4.0,10.0
10,alex_pbe_source_coordinate,500,0.0,3.0,10.0
10,alex_pbe_source_coordinate,1000,0.0,5.0,15.024999999999977
10,alex_pbe_source_coordinate,5000,55.0,93.0,130.0
10,alexmp20_source_coordinate,100,0.0,1.0,4.0
10,alexmp20_source_coordinate,300,0.0,3.0,8.0
10,alexmp20_source_coordinate,500,0.0,3.0,9.0
10,alexmp20_source_coordinate,1000,0.0,5.0,17.0
10,alexmp20_source_coordinate,5000,75.0,105.5,136.0
10,mp_matched_pool_coordinate,100,0.0,0.0,0.0
10,mp_matched_pool_coordinate,300,0.0,0.0,2.0
10,mp_matched_pool_coordinate,500,0.0,0.0,3.0
10,mp_matched_pool_coordinate,1000,0.0,1.0,4.0
10,mp_matched_pool_coordinate,5000,0.0,8.0,25.024999999999977
10,mp_source_coordinate,100,0.0,1.0,4.0
10,mp_source_coordinate,300,0.0,2.0,6.0
10,mp_source_coordinate,500,0.0,2.0,8.0
10,mp_source_coordinate,1000,0.0,7.0,20.0
10,mp_source_coordinate,5000,36.0,63.5,89.0
25,alex_pbe_matched_pool_coordinate,100,0.0,0.0,0.0
25,alex_pbe_matched_pool_coordinate,300,0.0,0.0,0.0
25,alex_pbe_matched_pool_coordinate,500,0.0,0.0,0.0
25,alex_pbe_matched_pool_coordinate,1000,0.0,1.0,2.0
25,alex_pbe_matched_pool_coordinate,5000,0.0,5.0,15.0
25,alex_pbe_source_coordinate,100,0.0,1.0,4.0
25,alex_pbe_source_coordinate,300,0.0,3.0,8.0
25,alex_pbe_source_coordinate,500,0.0,6.0,13.0
25,alex_pbe_source_coordinate,1000,0.0,4.0,14.0
25,alex_pbe_source_coordinate,5000,43.0,73.0,100.0
25,alexmp20_source_coordinate,100,0.0,1.0,5.0
25,alexmp20_source_coordinate,300,0.0,2.0,7.0
25,alexmp20_source_coordinate,500,0.0,2.0,9.0
25,alexmp20_source_coordinate,1000,0.0,4.0,13.0
25,alexmp20_source_coordinate,5000,56.0,83.0,107.0
25,mp_matched_pool_coordinate,100,0.0,0.0,0.0
25,mp_matched_pool_coordinate,300,0.0,0.0,2.0
25,mp_matched_pool_coordinate,500,0.0,0.0,3.0
25,mp_matched_pool_coordinate,1000,0.0,1.0,2.0
25,mp_matched_pool_coordinate,5000,0.0,8.0,26.0
25,mp_source_coordinate,100,0.0,1.0,4.0
25,mp_source_coordinate,300,0.0,2.0,6.0
25,mp_source_coordinate,500,0.0,2.0,8.0
25,mp_source_coordinate,1000,0.0,4.0,13.0
25,mp_source_coordinate,5000,21.0,44.0,67.0
50,alex_pbe_matched_pool_coordinate,100,0.0,0.0,0.0
50,alex_pbe_matched_pool_coordinate,300,0.0,0.0,0.0
50,alex_pbe_matched_pool_coordinate,500,0.0,0.0,0.0
50,alex_pbe_matched_pool_coordinate,1000,0.0,0.0,0.0
50,alex_pbe_matched_pool_coordinate,5000,0.0,2.0,8.0
50,alex_pbe_source_coordinate,100,0.0,1.0,3.0
50,alex_pbe_source_coordinate,300,0.0,3.0,8.0
50,alex_pbe_source_coordinate,500,0.0,3.0,8.0
50,alex_pbe_source_coordinate,1000,0.0,3.0,9.0
50,alex_pbe_source_coordinate,5000,37.0,57.0,76.02499999999998
50,alexmp20_source_coordinate,100,0.0,1.0,3.0
50,alexmp20_source_coordinate,300,0.0,2.0,7.0
50,alexmp20_source_coordinate,500,0.0,1.0,5.0
50,alexmp20_source_coordinate,1000,0.0,3.0,10.0
50,alexmp20_source_coordinate,5000,38.0,55.0,72.0
50,mp_matched_pool_coordinate,100,0.0,0.0,0.0
50,mp_matched_pool_coordinate,300,0.0,0.0,0.0
50,mp_matched_pool_coordinate,500,0.0,0.0,0.0
50,mp_matched_pool_coordinate,1000,0.0,0.0,0.0
50,mp_matched_pool_coordinate,5000,1.0,10.0,23.0
50,mp_source_coordinate,100,0.0,1.0,4.0
50,mp_source_coordinate,300,0.0,2.0,6.0
50,mp_source_coordinate,500,0.0,1.0,4.0
50,mp_source_coordinate,1000,0.0,2.0,7.0
50,mp_source_coordinate,5000,1.0,15.0,32.0
