row_id,formula,chemical_system,source_native_mp_ehull,source_native_alex_pbe_ehull,source_native_mp_label,source_native_alex_pbe_label,discordant_zero_mev,mp_ehull_mev,alexandria_ehull_mev
SAS36K-00001,BaTe,Ba-Te,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00002,Hf2S,Hf-S,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00003,Nb4CoSi,Co-Nb-Si,0.012775998749997,0.035234533,False,False,False,12.775998749997001,35.234533
SAS36K-00004,Mo3P,Mo-P,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00005,GaTe,Ga-Te,0.004359849583334,0.0038246247,False,False,False,4.359849583334,3.8246246999999998
SAS36K-00006,BaN2,Ba-N,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00007,Al(CoSi)2,Al-Co-Si,0.015228510000012,0.02294206,False,False,False,15.228510000012,22.94206
SAS36K-00008,Sc2ZnS4,S-Sc-Zn,0.009632063214286,0.009230194,False,False,False,9.632063214286001,9.230194000000001
SAS36K-00009,Y2ZnS4,S-Y-Zn,0.047406897244899,0.05551167,False,False,False,47.406897244899,55.51167
SAS36K-00010,Sc2ZnSe4,Sc-Se-Zn,0.019004453928572,0.020101618,False,False,False,19.004453928572,20.101618000000002
SAS36K-00011,Zn(InSe2)2,In-Se-Zn,0.059226812857142,0.059984572,False,False,False,59.226812857142,59.984572
SAS36K-00012,Mg(ScSe2)2,Mg-Sc-Se,0.003288914642856,0.0041404073,False,False,False,3.288914642856,4.140407300000001
SAS36K-00013,Y2ZnSe4,Se-Y-Zn,0.048733503571428,0.049125083,False,False,False,48.733503571428,49.125083
SAS36K-00014,Cu2PPd2,Cu-P-Pd,0.004432295818181,0.028220676,False,False,False,4.432295818180999,28.220676
SAS36K-00015,Y2MgS4,Mg-S-Y,0.003039925714293,0.011153365,False,False,False,3.039925714293,11.153365
SAS36K-00016,Mg(InSe2)2,In-Mg-Se,0.035784261785716,0.039403282,False,False,False,35.784261785716,39.403282
SAS36K-00017,H2CO3,C-H-O,0.004742672083333,0.0053757434,False,False,False,4.742672083333,5.3757434
SAS36K-00018,TaS2,S-Ta,0.0,0.00017279667,True,False,True,0.0,0.17279666999999999
SAS36K-00019,SiOs,Os-Si,0.027129491249997,0.029864956,False,False,False,27.129491249997002,29.864956000000003
SAS36K-00020,LiC6,C-Li,0.000490129480517,0.0,False,True,True,0.49012948051699995,0.0
