stratum,row_n,discordant_n,discordance_rate,ci_low_95,ci_high_95,median_abs_hull_delta_mev
Unary,120,17,0.14166666666666666,0.09036879103483236,0.21519494489857183,7.481496749999501
Binary,7259,1177,0.16214354594296734,0.15384360995168603,0.17080087970010235,3.7685484000000002
Ternary,22108,3744,0.16935046137144924,0.1644640344588675,0.17435177483376393,2.197855645831999
Quaternary+,7315,728,0.09952153110047847,0.09287012186264874,0.10659334063130761,2.9904998333330006
Transition metal,27596,4263,0.15447890998695463,0.15026298094766855,0.15879102110329696,2.8763537083315036
No transition metal,9206,1403,0.15240060829893548,0.1452039144127012,0.15988727216028575,1.889909403570999
Lanthanide,13384,2363,0.17655409444112374,0.17018747462088005,0.18310633105863058,1.969360682533
No lanthanide,23418,3303,0.14104534973097618,0.13664622370533294,0.1455622213668379,3.0419174722184996
Oxygen,9308,928,0.09969918349806618,0.09377695024875977,0.10595169279626855,3.659492750003002
No oxygen,27494,4738,0.17232850803811742,0.16791023247356957,0.17683833526463644,2.3276225833304958
Halogen,4954,847,0.1709729511505854,0.16074506543828315,0.18171071353786716,3.9102142666655
No halogen,31848,4819,0.15131248430042704,0.14741888350220042,0.1552901913023456,2.452289575884504
