model_name,endpoint,support_n,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
CHGNet,mp_native,36650,15001,0.4093042291950887,100,2.039717409346,99,53,1,1,1,54.0,0.54,54,54,0.54,0.54,54,54,0.54,0.54,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,300,1.056255953653,299,195,1,1,1,196.0,0.6533333333333333,196,196,0.6533333333333333,0.6533333333333333,196,196,0.6533333333333333,0.6533333333333333,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,500,0.668063275516,499,337,1,1,1,338.0,0.676,338,338,0.676,0.676,338,338,0.676,0.676,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,1000,0.340055902799,999,706,1,1,1,707.0,0.707,707,707,0.707,0.707,707,707,0.707,0.707,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,5000,0.104900509119,4999,3940,1,1,1,3941.0,0.7882,3941,3941,0.7882,0.7882,3941,3941,0.7882,0.7882,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,100,2.039717409346,99,56,1,1,1,57.0,0.57,57,57,0.57,0.57,57,57,0.57,0.57,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,300,1.056255953653,299,181,1,1,1,182.0,0.6066666666666667,182,182,0.6066666666666667,0.6066666666666667,182,182,0.6066666666666667,0.6066666666666667,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,500,0.668063275516,499,302,1,1,1,303.0,0.606,303,303,0.606,0.606,303,303,0.606,0.606,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,1000,0.340055902799,999,627,1,1,1,628.0,0.628,628,628,0.628,0.628,628,628,0.628,0.628,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,5000,0.104900509119,4999,3521,1,1,1,3522.0,0.7044,3522,3522,0.7044,0.7044,3522,3522,0.7044,0.7044,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,100,2.039717409346,99,41,1,0,1,41.0,0.41,41,41,0.41,0.41,41,41,0.41,0.41,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,300,1.056255953653,299,145,1,1,1,146.0,0.4866666666666667,146,146,0.4866666666666667,0.4866666666666667,146,146,0.4866666666666667,0.4866666666666667,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,500,0.668063275516,499,264,1,1,1,265.0,0.53,265,265,0.53,0.53,265,265,0.53,0.53,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,1000,0.340055902799,999,561,1,1,1,562.0,0.562,562,562,0.562,0.562,562,562,0.562,0.562,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,5000,0.104900509119,4999,3295,1,1,1,3296.0,0.6592,3296,3296,0.6592,0.6592,3296,3296,0.6592,0.6592,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,100,2.039717409346,99,86,1,1,1,87.0,0.87,87,87,0.87,0.87,87,87,0.87,0.87,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,300,1.056255953653,299,284,1,1,1,285.0,0.95,285,285,0.95,0.95,285,285,0.95,0.95,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,500,0.668063275516,499,470,1,1,1,471.0,0.942,471,471,0.942,0.942,471,471,0.942,0.942,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,1000,0.340055902799,999,951,1,1,1,952.0,0.952,952,952,0.952,0.952,952,952,0.952,0.952,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,5000,0.104900509119,4999,4734,1,1,1,4735.0,0.947,4735,4735,0.947,0.947,4735,4735,0.947,0.947,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,100,2.039717409346,99,90,1,1,1,91.0,0.91,91,91,0.91,0.91,91,91,0.91,0.91,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,300,1.056255953653,299,290,1,1,1,291.0,0.97,291,291,0.97,0.97,291,291,0.97,0.97,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,500,0.668063275516,499,488,1,1,1,489.0,0.978,489,489,0.978,0.978,489,489,0.978,0.978,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,1000,0.340055902799,999,983,1,1,1,984.0,0.984,984,984,0.984,0.984,984,984,0.984,0.984,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,5000,0.104900509119,4999,4929,1,1,1,4930.0,0.986,4930,4930,0.986,0.986,4930,4930,0.986,0.986,0.95,12
