model_name,endpoint,K,row_id_selected_hits,row_id_selected_yield,row_id_minus_tie_expected_hits,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
ALIGNN-FF,mp_native,100,58,0.58,-1.0451300356960758,-0.0,0,0,15688,9263,100,59.045130035696076,0.5904513003569608,49,69,0.49,0.69,0,100,0.0,1.0,0.95,12
ALIGNN-FF,mp_native,300,190,0.6333333333333333,12.864609892911773,-0.0,0,0,15688,9263,300,177.13539010708823,0.5904513003569608,161,194,0.5366666666666666,0.6466666666666666,0,300,0.0,1.0,0.95,12
ALIGNN-FF,mp_native,500,328,0.656,32.77434982151965,-0.0,0,0,15688,9263,500,295.22565017848035,0.5904513003569607,274,316,0.548,0.632,0,500,0.0,1.0,0.95,12
ALIGNN-FF,mp_native,1000,683,0.683,92.5486996430393,-0.0,0,0,15688,9263,1000,590.4513003569607,0.5904513003569607,561,620,0.561,0.62,0,1000,0.0,1.0,0.95,12
ALIGNN-FF,mp_native,5000,2910,0.582,-42.25650178480373,-0.0,0,0,15688,9263,5000,2952.2565017848037,0.5904513003569607,2896,3008,0.5792,0.6016,0,5000,0.0,1.0,0.95,12
ALIGNN-FF,alexmp20_native,100,57,0.57,4.5586435492095845,-0.0,0,0,15688,8227,100,52.441356450790416,0.5244135645079041,43,62,0.43,0.62,0,100,0.0,1.0,0.95,12
ALIGNN-FF,alexmp20_native,300,173,0.5766666666666667,15.675930647628775,-0.0,0,0,15688,8227,300,157.32406935237123,0.5244135645079041,141,174,0.47,0.58,0,300,0.0,1.0,0.95,12
ALIGNN-FF,alexmp20_native,500,312,0.624,49.79321774604796,-0.0,0,0,15688,8227,500,262.20678225395204,0.5244135645079041,241,284,0.482,0.568,0,500,0.0,1.0,0.95,12
ALIGNN-FF,alexmp20_native,1000,650,0.65,125.58643549209592,-0.0,0,0,15688,8227,1000,524.4135645079041,0.5244135645079041,494,554,0.494,0.554,0,1000,0.0,1.0,0.95,12
ALIGNN-FF,alexmp20_native,5000,2635,0.527,12.932177460479124,-0.0,0,0,15688,8227,5000,2622.067822539521,0.5244135645079042,2565,2679,0.513,0.5358,0,5000,0.0,1.0,0.95,12
ALIGNN-FF,alex_pbe_native,100,47,0.47,0.19989801121876383,-0.0,0,0,15688,7342,100,46.800101988781236,0.46800101988781234,37,57,0.37,0.57,0,100,0.0,1.0,0.95,12
ALIGNN-FF,alex_pbe_native,300,156,0.52,15.599694033656306,-0.0,0,0,15688,7342,300,140.4003059663437,0.46800101988781234,124,157,0.41333333333333333,0.5233333333333333,0,300,0.0,1.0,0.95,12
ALIGNN-FF,alex_pbe_native,500,277,0.554,42.99949005609383,-0.0,0,0,15688,7342,500,234.00050994390617,0.46800101988781234,213,256,0.426,0.512,0,500,0.0,1.0,0.95,12
ALIGNN-FF,alex_pbe_native,1000,590,0.59,121.99898011218767,-0.0,0,0,15688,7342,1000,468.00101988781233,0.46800101988781234,438,498,0.438,0.498,0,1000,0.0,1.0,0.95,12
ALIGNN-FF,alex_pbe_native,5000,2374,0.4748,33.99490056093828,-0.0,0,0,15688,7342,5000,2340.0050994390617,0.46800101988781234,2283,2397,0.4566,0.4794,0,5000,0.0,1.0,0.95,12
ALIGNN-FF,common_pool,100,68,0.68,-5.34268230494645,-0.0,0,0,15688,11506,100,73.34268230494645,0.7334268230494645,65,82,0.65,0.82,0,100,0.0,1.0,0.95,12
ALIGNN-FF,common_pool,300,221,0.7366666666666667,0.971953085160635,-0.0,0,0,15688,11506,300,220.02804691483936,0.7334268230494646,205,235,0.6833333333333333,0.7833333333333333,0,300,0.0,1.0,0.95,12
ALIGNN-FF,common_pool,500,375,0.75,8.286588475267706,-0.0,0,0,15688,11506,500,366.7134115247323,0.7334268230494646,347,386,0.694,0.772,0,500,0.0,1.0,0.95,12
ALIGNN-FF,common_pool,1000,761,0.761,27.573176950535412,-0.0,0,0,15688,11506,1000,733.4268230494646,0.7334268230494646,707,760,0.707,0.76,0,1000,0.0,1.0,0.95,12
ALIGNN-FF,common_pool,5000,3649,0.7298,-18.134115247322825,-0.0,0,0,15688,11506,5000,3667.134115247323,0.7334268230494646,3616,3718,0.7232,0.7436,818,5000,0.1636,1.0,0.95,12
CHGNet,mp_native,100,65,0.65,1.8525273579989587,-0.0,0,0,19190,12118,100,63.14747264200104,0.6314747264200105,54,72,0.54,0.72,0,100,0.0,1.0,0.95,12
CHGNet,mp_native,300,209,0.6966666666666667,19.557582073996883,-0.0,0,0,19190,12118,300,189.44241792600312,0.6314747264200103,173,206,0.5766666666666667,0.6866666666666666,0,300,0.0,1.0,0.95,12
CHGNet,mp_native,500,353,0.706,37.262636789994815,-0.0,0,0,19190,12118,500,315.7373632100052,0.6314747264200103,295,336,0.59,0.672,0,500,0.0,1.0,0.95,12
CHGNet,mp_native,1000,731,0.731,99.52527357998963,-0.0,0,0,19190,12118,1000,631.4747264200104,0.6314747264200103,602,660,0.602,0.66,0,1000,0.0,1.0,0.95,12
CHGNet,mp_native,5000,3074,0.6148,-83.37363210005196,-0.0,0,0,19190,12118,5000,3157.373632100052,0.6314747264200103,3100,3215,0.62,0.643,0,5000,0.0,1.0,0.95,12
CHGNet,alexmp20_native,100,64,0.64,7.751954142782701,-0.0,0,0,19190,10794,100,56.2480458572173,0.562480458572173,47,66,0.47,0.66,0,100,0.0,1.0,0.95,12
CHGNet,alexmp20_native,300,194,0.6466666666666666,25.25586242834811,-0.0,0,0,19190,10794,300,168.7441375716519,0.562480458572173,152,185,0.5066666666666667,0.6166666666666667,0,300,0.0,1.0,0.95,12
CHGNet,alexmp20_native,500,332,0.664,50.7597707139135,-0.0,0,0,19190,10794,500,281.2402292860865,0.562480458572173,260,303,0.52,0.606,0,500,0.0,1.0,0.95,12
CHGNet,alexmp20_native,1000,692,0.692,129.519541427827,-0.0,0,0,19190,10794,1000,562.480458572173,0.562480458572173,532,592,0.532,0.592,0,1000,0.0,1.0,0.95,12
CHGNet,alexmp20_native,5000,2757,0.5514,-55.402292860865145,-0.0,0,0,19190,10794,5000,2812.402292860865,0.562480458572173,2753,2871,0.5506,0.5742,0,5000,0.0,1.0,0.95,12
CHGNet,alex_pbe_native,100,53,0.53,3.0937988535695666,-0.0,0,0,19190,9577,100,49.90620114643043,0.49906201146430434,40,60,0.4,0.6,0,100,0.0,1.0,0.95,12
CHGNet,alex_pbe_native,300,171,0.57,21.281396560708714,-0.0,0,0,19190,9577,300,149.7186034392913,0.4990620114643043,133,167,0.44333333333333336,0.5566666666666666,0,300,0.0,1.0,0.95,12
CHGNet,alex_pbe_native,500,297,0.594,47.46899426784785,-0.0,0,0,19190,9577,500,249.53100573215215,0.4990620114643043,228,271,0.456,0.542,0,500,0.0,1.0,0.95,12
CHGNet,alex_pbe_native,1000,620,0.62,120.9379885356957,-0.0,0,0,19190,9577,1000,499.0620114643043,0.4990620114643043,469,529,0.469,0.529,0,1000,0.0,1.0,0.95,12
CHGNet,alex_pbe_native,5000,2465,0.493,-30.310057321521526,-0.0,0,0,19190,9577,5000,2495.3100573215215,0.4990620114643043,2436,2555,0.4872,0.511,0,5000,0.0,1.0,0.95,12
CHGNet,common_pool,100,75,0.75,-4.114121938509641,-0.0,0,0,19190,15182,100,79.11412193850964,0.7911412193850964,71,87,0.71,0.87,0,100,0.0,1.0,0.95,12
CHGNet,common_pool,300,242,0.8066666666666666,4.657634184471078,-0.0,0,0,19190,15182,300,237.34236581552892,0.7911412193850964,223,251,0.7433333333333333,0.8366666666666667,0,300,0.0,1.0,0.95,12
CHGNet,common_pool,500,399,0.798,3.429390307451797,-0.0,0,0,19190,15182,500,395.5706096925482,0.7911412193850964,378,413,0.756,0.826,0,500,0.0,1.0,0.95,12
CHGNet,common_pool,1000,823,0.823,31.858780614903594,-0.0,0,0,19190,15182,1000,791.1412193850964,0.7911412193850964,766,815,0.766,0.815,0,1000,0.0,1.0,0.95,12
CHGNet,common_pool,5000,3927,0.7854,-28.706096925482143,-0.0,0,0,19190,15182,5000,3955.706096925482,0.7911412193850964,3907,4004,0.7814,0.8008,992,5000,0.1984,1.0,0.95,12
M3GNet,mp_native,100,62,0.62,-3.01921061823262,-0.0,0,0,17178,11169,100,65.01921061823262,0.6501921061823261,56,74,0.56,0.74,0,100,0.0,1.0,0.95,12
M3GNet,mp_native,300,208,0.6933333333333334,12.94236814530214,-0.0,0,0,17178,11169,300,195.05763185469786,0.6501921061823261,179,211,0.5966666666666667,0.7033333333333334,0,300,0.0,1.0,0.95,12
M3GNet,mp_native,500,357,0.714,31.903946908836872,-0.0,0,0,17178,11169,500,325.0960530911631,0.6501921061823263,304,346,0.608,0.692,0,500,0.0,1.0,0.95,12
M3GNet,mp_native,1000,736,0.736,85.80789381767374,-0.0,0,0,17178,11169,1000,650.1921061823263,0.6501921061823263,621,679,0.621,0.679,0,1000,0.0,1.0,0.95,12
M3GNet,mp_native,5000,3200,0.64,-50.96053091163094,-0.0,0,0,17178,11169,5000,3250.960530911631,0.6501921061823261,3195,3307,0.639,0.6614,0,5000,0.0,1.0,0.95,12
M3GNet,alexmp20_native,100,62,0.62,4.059611130515776,-0.0,0,0,17178,9953,100,57.940388869484224,0.5794038886948423,48,67,0.48,0.67,0,100,0.0,1.0,0.95,12
M3GNet,alexmp20_native,300,192,0.64,18.17883339154733,-0.0,0,0,17178,9953,300,173.82116660845267,0.5794038886948423,157,190,0.5233333333333333,0.6333333333333333,0,300,0.0,1.0,0.95,12
M3GNet,alexmp20_native,500,331,0.662,41.29805565257885,-0.0,0,0,17178,9953,500,289.70194434742115,0.5794038886948423,268,311,0.536,0.622,0,500,0.0,1.0,0.95,12
M3GNet,alexmp20_native,1000,690,0.69,110.5961113051577,-0.0,0,0,17178,9953,1000,579.4038886948423,0.5794038886948423,550,609,0.55,0.609,0,1000,0.0,1.0,0.95,12
M3GNet,alexmp20_native,5000,2867,0.5734,-30.01944347421113,-0.0,0,0,17178,9953,5000,2897.019443474211,0.5794038886948423,2839,2955,0.5678,0.591,0,5000,0.0,1.0,0.95,12
M3GNet,alex_pbe_native,100,50,0.5,-1.5834206543253018,-0.0,0,0,17178,8861,100,51.5834206543253,0.5158342065432531,42,61,0.42,0.61,0,100,0.0,1.0,0.95,12
M3GNet,alex_pbe_native,300,174,0.58,19.249738037024088,-0.0,0,0,17178,8861,300,154.7502619629759,0.5158342065432531,138,172,0.46,0.5733333333333334,0,300,0.0,1.0,0.95,12
M3GNet,alex_pbe_native,500,298,0.596,40.0828967283735,-0.0,0,0,17178,8861,500,257.9171032716265,0.515834206543253,236,279,0.472,0.558,0,500,0.0,1.0,0.95,12
M3GNet,alex_pbe_native,1000,624,0.624,108.165793456747,-0.0,0,0,17178,8861,1000,515.834206543253,0.515834206543253,486,546,0.486,0.546,0,1000,0.0,1.0,0.95,12
M3GNet,alex_pbe_native,5000,2585,0.517,5.828967283734983,-0.0,0,0,17178,8861,5000,2579.171032716265,0.515834206543253,2521,2637,0.5042,0.5274,0,5000,0.0,1.0,0.95,12
M3GNet,common_pool,100,72,0.72,-9.202701129351496,-0.0,0,0,17178,13949,100,81.2027011293515,0.812027011293515,73,89,0.73,0.89,0,100,0.0,1.0,0.95,12
M3GNet,common_pool,300,242,0.8066666666666666,-1.6081033880545021,-0.0,0,0,17178,13949,300,243.6081033880545,0.812027011293515,230,256,0.7666666666666667,0.8533333333333334,0,300,0.0,1.0,0.95,12
M3GNet,common_pool,500,400,0.8,-6.013505646757494,-0.0,0,0,17178,13949,500,406.0135056467575,0.812027011293515,389,423,0.778,0.846,0,500,0.0,1.0,0.95,12
M3GNet,common_pool,1000,818,0.818,5.972988706485012,-0.0,0,0,17178,13949,1000,812.027011293515,0.812027011293515,788,835,0.788,0.835,0,1000,0.0,1.0,0.95,12
M3GNet,common_pool,5000,4029,0.8058,-31.13505646757494,-0.0,0,0,17178,13949,5000,4060.135056467575,0.812027011293515,4014,4106,0.8028,0.8212,1771,5000,0.3542,1.0,0.95,12
MACE-MP,mp_native,100,70,0.7,-0.6231283114489798,-0.0,0,0,17364,12263,100,70.62312831144898,0.7062312831144898,62,79,0.62,0.79,0,100,0.0,1.0,0.95,12
MACE-MP,mp_native,300,229,0.7633333333333333,17.130615065653075,-0.0,0,0,17364,12263,300,211.86938493434693,0.7062312831144898,196,227,0.6533333333333333,0.7566666666666667,0,300,0.0,1.0,0.95,12
MACE-MP,mp_native,500,392,0.784,38.884358442755115,-0.0,0,0,17364,12263,500,353.1156415572449,0.7062312831144898,333,373,0.666,0.746,0,500,0.0,1.0,0.95,12
MACE-MP,mp_native,1000,802,0.802,95.76871688551023,-0.0,0,0,17364,12263,1000,706.2312831144898,0.7062312831144898,679,733,0.679,0.733,0,1000,0.0,1.0,0.95,12
MACE-MP,mp_native,5000,3496,0.6992,-35.15641557244862,-0.0,0,0,17364,12263,5000,3531.1564155724486,0.7062312831144897,3478,3584,0.6956,0.7168,0,5000,0.0,1.0,0.95,12
MACE-MP,alexmp20_native,100,70,0.7,7.001842893342548,-0.0,0,0,17364,10939,100,62.99815710665745,0.6299815710665745,53,72,0.53,0.72,0,100,0.0,1.0,0.95,12
MACE-MP,alexmp20_native,300,211,0.7033333333333334,22.005528680027652,-0.0,0,0,17364,10939,300,188.99447131997235,0.6299815710665745,173,205,0.5766666666666667,0.6833333333333333,0,300,0.0,1.0,0.95,12
MACE-MP,alexmp20_native,500,369,0.738,54.00921446671276,-0.0,0,0,17364,10939,500,314.99078553328724,0.6299815710665745,294,336,0.588,0.672,0,500,0.0,1.0,0.95,12
MACE-MP,alexmp20_native,1000,761,0.761,131.01842893342553,-0.0,0,0,17364,10939,1000,629.9815710665745,0.6299815710665745,601,659,0.601,0.659,0,1000,0.0,1.0,0.95,12
MACE-MP,alexmp20_native,5000,3148,0.6296,-1.907855332872714,-0.0,0,0,17364,10939,5000,3149.9078553328727,0.6299815710665746,3093,3206,0.6186,0.6412,0,5000,0.0,1.0,0.95,12
MACE-MP,alex_pbe_native,100,58,0.58,1.837825385855794,-0.0,0,0,17364,9752,100,56.162174614144206,0.5616217461414421,46,66,0.46,0.66,0,100,0.0,1.0,0.95,12
MACE-MP,alex_pbe_native,300,186,0.62,17.513476157567368,-0.0,0,0,17364,9752,300,168.48652384243263,0.5616217461414421,152,185,0.5066666666666667,0.6166666666666667,0,300,0.0,1.0,0.95,12
MACE-MP,alex_pbe_native,500,328,0.656,47.189126929278984,-0.0,0,0,17364,9752,500,280.810873070721,0.561621746141442,259,302,0.518,0.604,0,500,0.0,1.0,0.95,12
